Symbol	H358.siNeg.1	H358.siNeg.2	H358.siNeg.3	H358.siKRAS.1	H358.siKRAS.2	H358.siKRAS.3	H358.siUHRF1.1	H358.siUHRF1.2	H358.siUHRF1.3	A549.siNeg.1	A549.siNeg.2	A549.siNeg.3	A549.siKRAS.1	A549.siKRAS.2	A549.siKRAS.3	A549.siUHRF1.1	A549.siUHRF1.2	A549.siUHRF1.3
TSPAN6	6.658033982	6.698258563	6.649702117	7.282489153	7.313240834	7.270373894	6.393148142	6.442973264	6.477211076	5.496078324	5.564777453	5.472308611	6.105344444	5.896743988	6.033699466	5.729647118	5.80422954	5.828013195
DPM1	6.568147845	6.616380415	6.705318004	6.321126258	6.45521308	6.350874837	6.560905214	6.488750817	6.547416573	6.579897885	6.541767311	6.505617063	5.790912068	5.797457872	5.804576536	6.24733076	6.273953652	6.152830763
SCYL3	4.707003684	4.905184828	4.687317956	4.895736508	4.824228159	4.888167156	4.394709485	4.442078816	4.461559233	4.461995426	4.538284449	4.435739564	4.464421398	4.360274912	4.518705216	4.312080132	4.265166672	4.252910946
C1orf112	4.832603418	4.827642262	4.885888966	3.551364739	3.428091905	3.42949579	4.595365209	4.504285597	4.646745119	3.895418795	3.92899594	3.955675926	3.633620655	3.574682476	3.655457913	3.904396458	4.184903102	4.00079037
CFH	6.995877676	7.094987688	7.012752879	7.949014896	7.971180684	7.943872082	6.640993433	6.808757186	6.653329987	6.629165799	6.632773175	6.658411574	8.269936169	8.217569559	8.30488294	7.023953815	7.149879983	7.032106738
FUCA2	5.811699758	5.798468388	5.902963386	6.034730606	5.921708419	6.033424256	6.136843752	6.051838446	6.061650358	6.429697701	6.540462033	6.491654975	7.518782125	7.52116205	7.446606602	6.802361565	7.000264692	6.987354411
GCLC	7.920734354	7.862095368	7.950578748	6.72108179	6.877487176	6.797917391	7.316329972	7.272965955	7.315162278	7.564631188	7.714460011	7.661344073	6.354972477	6.344399976	6.360147359	7.332304719	7.28863097	7.206466479
NFYA	5.937949659	5.829400429	5.945268445	5.517737613	5.455925396	5.473701169	5.640290318	5.764722514	5.687573368	5.899743375	5.875476445	5.817200453	5.565938453	5.539998101	5.694423063	5.490461309	5.564475658	5.466855856
STPG1	3.629659305	3.598500097	3.613714149	3.66374503	3.520297023	3.517722213	3.671700245	3.546022477	3.421735914	3.408783056	3.335139393	3.029451668	3.647423387	3.58872503	3.655457913	3.632324479	3.335525815	3.808382541
NIPAL3	6.661698513	6.581373846	6.628806971	5.999093992	6.050990866	6.00039755	5.926779152	5.94535087	5.915037302	5.406167698	5.355074442	5.271230318	5.272812268	5.326155524	5.280077254	5.347316905	5.327506917	5.274296659
LAS1L	5.931892786	5.861180749	5.945268445	5.706335984	5.624040069	5.782968316	5.906980617	5.90638909	6.015662325	6.869957149	6.780509918	6.792012292	6.35286796	6.256967937	6.326314981	6.434967724	6.522795729	6.466555232
ENPP4	4.634265755	4.514002727	4.485160407	5.311659144	5.206273933	5.285469688	4.442646762	4.592838512	4.721989756	2.245128626	2.332461857	2.351094916	2.359902437	2.366112374	2.258348946	2.576876844	2.357042406	2.643846638
SEMA3F	2.589953725	2.561038063	2.615818654	2.727949244	2.642243846	2.528806236	2.731965019	2.841019327	2.629902688	2.629804913	2.206443616	2.916938449	2.1432173	2.398361229	2.481848522	3.238914595	2.871824484	3.453254068
ANKIB1	6.290151379	6.378810888	6.158558209	6.598440003	6.545753792	6.631734572	6.4587284	6.489849396	6.45256877	6.252379823	6.35391884	6.237656248	6.468179402	6.362903221	6.435577757	6.389189407	6.369847423	6.233947089
CYP51A1	2.243849191	2.500824011	2.671368762	2.240509567	2.190278981	2.294604698	2.639008999	2.552238783	2.302316471	2.192309947	2.30812346	2.326135308	1.978267718	2.520597774	2.227810329	2.576876844	2.324111713	2.697131191
KRIT1	5.082702153	5.105485537	5.052059373	5.329703487	5.226323139	5.276301396	4.76207462	4.695441894	4.918727946	5.572985923	5.515139563	5.673706549	5.737064839	5.607073174	5.724811635	5.71204733	5.653324496	5.640119399
